latitude,longitude,extenders,wireless_clients_count,wired_clients_count,rx_avg_bps,tx_avg_bps,rx_p95_bps,tx_p95_bps,rx_max_bps,tx_max_bps,rssi_mean,rssi_median,rssi_max,rssi_min,network_speed
41.931696,-87.9889556,271.125462725633,291.27783589235355,401.8130861967531,697.5394004934304,1019.051558776761,614.1701937436627,835.9114502824317,538.0906613787428,513.3036940539414,515.7245865684729,520.8495379762612,515.8782937962156,525.0381309873815,
34.5827699,-117.409215,473.1206768707253,549.665290706244,521.116141910366,673.9771805094288,777.8969680005658,685.7039007381157,874.509720936054,635.7063442823239,693.703689354482,490.10838390324216,490.6627946113089,475.9454479773834,495.61327439446876,
40.2177815,-80.8729361564337,199.6422898789501,269.4143663701672,373.04814403146366,575.5779223189588,679.4397654766314,515.1385355254106,676.5170881902349,452.7494418404508,439.93768982071714,497.79542751087126,492.2781402679685,560.8318408806189,482.9136980837373,
41.8975152,-84.0373054,261.57825577499693,382.9063614688804,409.6367992653103,725.2316863523863,668.8555047999939,663.1799636930341,580.8579200854011,644.9859802368709,443.20543165316064,495.4181288067728,493.7608353515066,502.342187997033,500.90094779770146,
41.0164681,-75.613172,610.8250556435679,379.97522200994996,513.605612082865,415.2174484336083,530.6501143482218,367.7265973804959,441.08095287759085,467.28420788814185,429.2482149299912,487.22490829693163,486.2365518296344,527.1037375904984,477.00429056769855,
42.5867203,-85.8861492,265.3568358591302,432.93271049045865,504.51615106171266,646.8448822586417,623.4582816134911,576.6507804725235,603.3986842133008,581.121245525358,470.40922613251655,511.6921052398038,503.2321504396937,523.5204270314415,512.2908274547287,
33.1031744,-96.6705503,745.6490100428277,656.1954216422849,657.9111315375388,501.8332270573371,657.2683388326795,453.63748882363734,620.3661138408319,501.40672537142126,586.4215094742285,517.5453865729368,517.4815063418783,514.8896426305735,509.9106360401553,
31.5393701,-82.4623557,262.45309943979623,345.18314967762683,405.33776239146147,956.0170625898847,1649.9467705206375,755.8577968008805,1338.3657155921796,701.8451070951498,738.7004873090698,499.02441541142525,499.53531186897055,537.9789888827125,496.6603845121658,
46.7262473,-101.5056571,0.0,273.444499000985,260.57427582308236,633.6345205042742,161.68234247422012,444.9584643799317,160.7951112463334,348.76223214518063,112.92835689005902,469.9525045805849,444.90556281142784,523.3401048314823,501.8385933561104,
34.122887,-117.5985775,0.0,249.66671647916021,243.20265743487687,550.7359021460427,2537.9635015506224,273.7740364390171,1926.3950065557397,237.85622923410705,914.4841527449206,447.33248660629596,452.2190789124376,563.5970359723656,487.72713906138665,
